movie,tokenCount,characterCount,sectionCount,afraid,amused,angry,annoyed,dont_care,happy,inspired,sad,totalProbSum
10thingsihateaboutyou,9068,33,1559,0.11305962040274,0.133459294227619,0.116390609339553,0.125104210148487,0.131428220350618,0.115856635387719,0.14164938633911,0.123052023804155,92.891419256305
12monkeys,16019,149,1611,0.120572342293305,0.131576582249046,0.119041002231994,0.123856326415565,0.1295546668063,0.113931486347634,0.135558294478194,0.125909299177962,159.348021780747
1492conquestofparadise,11734,42,1277,0.122439481465104,0.129006314977658,0.120118160336097,0.122749052682635,0.126972726653369,0.114571092121438,0.134813242109007,0.129329929654692,98.0494618638541
15minutes,12497,63,1515,0.115767258955552,0.132546490293552,0.117893916625884,0.124036078393997,0.130992726131621,0.116027609203553,0.138358518806691,0.124377401589151,131.445848007566
30minutesorless,11763,52,1512,0.112667987439294,0.134329574008567,0.11560179626541,0.124063668266721,0.131379445084347,0.116642216463238,0.143160023723446,0.122155288748977,125.886161482678
48hrs.,10414,43,1388,0.112453907730868,0.133976245703989,0.114671240413182,0.123707150618317,0.132515668007193,0.117606373844076,0.143389773291854,0.12167964039052,113.734123329621
5050,10587,145,1578,0.112980372931605,0.134604589444517,0.113748313716781,0.1227764226838,0.131317053389283,0.116396913243957,0.144169011272794,0.124007323317263,111.728356140995
8mm,17168,33,1590,0.1136536913467,0.134126863558438,0.115933763477653,0.122876946620914,0.131073692787553,0.117042014559151,0.13946439086906,0.125828636780531,193.027795534234
abyssthe,15978,54,1464,0.117746986815186,0.133209480867227,0.111120330488008,0.121025335809884,0.130966624541734,0.118333494827824,0.143727891090333,0.123869855559804,122.547747876733
afewgoodmen,13307,35,1857,0.124168040992062,0.125926817622668,0.130936690523569,0.129578678162076,0.125332645903519,0.111733067164964,0.125730532979885,0.126593526651256,183.728820432548
affliction,8280,27,1049,0.11483739919561,0.132926783574349,0.11809693602497,0.125006235353463,0.13074905009847,0.114713430074234,0.139266831312523,0.124403334366382,90.863963719132
airforceone,13925,106,1881,0.128142881160896,0.125410190622934,0.123494315104196,0.126485612090378,0.125250057549839,0.116818891538418,0.124778740373828,0.12961931155951,129.434044452049
airplane,10070,80,1625,0.122023858552344,0.131163316739508,0.113856101544565,0.121536659006557,0.129805615383412,0.116496077559398,0.13401719810509,0.131101173109126,81.6458777111287
airplane2thesequel,11869,131,1803,0.117613923922405,0.13187106605524,0.116520602862801,0.12344433640311,0.129877331713565,0.117064619306839,0.138662909699275,0.124945210036764,96.1968448115032
alien,11098,8,1523,0.113786484471138,0.135740920612718,0.111461569478424,0.121655715674403,0.131404982271058,0.119275631559429,0.144459493599204,0.122215202333626,82.1957858030485
aliennation,12752,103,1204,0.119773684686524,0.130520091720523,0.117131085246584,0.122298270251947,0.129541237267277,0.116526634480243,0.136154812645926,0.128054183700976,106.309971207792
aliens,14590,35,1396,0.120043083648831,0.131375481949062,0.114303505504011,0.121909796767445,0.129347937240391,0.117489154672492,0.139322256310574,0.126208783907194,89.9136323614638
allabouteve,14246,25,1816,0.11873991897004,0.129320044230415,0.12158066817616,0.127102314940355,0.129314576699143,0.114961467953257,0.133944863565252,0.125036145465377,209.108941405785
almostfamous,17473,73,1953,0.11735421779508,0.1320531016955,0.117122719289439,0.124120843111942,0.130799048756606,0.115670968745163,0.137444749399755,0.125434351206515,210.904895195083
amadeus,16711,58,1995,0.116465012113626,0.131858492567863,0.116953191583989,0.123651549359656,0.130762907845428,0.116077374425107,0.138700098957865,0.125531373146466,182.226538945101
americanpie,10660,54,1634,0.113454169898468,0.133953268160177,0.114821594408018,0.124597573210113,0.131244927981095,0.117133294545571,0.142266101867218,0.122529069929339,115.597299375882
americansplendor,9939,46,1069,0.111201842384818,0.13568239284612,0.11155583191987,0.122292344452601,0.13243214685677,0.118094523878985,0.146012397078155,0.122728520582681,90.8913777966339
americanwerewolfinlondon,8418,38,1270,0.118458034136713,0.131695285029843,0.118476957300068,0.123241390900981,0.129178447806222,0.114763364986246,0.136249920350609,0.12793659948932,72.2368719704624
amour,6471,48,806,0.117085970041083,0.130611561629964,0.11791332899288,0.124786094502923,0.130461838469814,0.115922730354058,0.137685115564719,0.125533360444558,81.4364148782526
anastasia,10371,55,1140,0.117036382322968,0.132637334616736,0.114215541507749,0.121790193829463,0.130787838772518,0.1159685504155,0.140963113068465,0.126601045466603,88.8448886537952
annakarenina,13041,136,1802,0.115612117112515,0.131689301833473,0.116176041797113,0.123656413696675,0.131126256060737,0.116723983954859,0.139690645379381,0.125325240165248,134.547545555599
anniversarypartythe,7759,245,1424,0.112909587696775,0.133948663130782,0.113980584717581,0.124662496652228,0.132607322833114,0.116156795565618,0.143772089712136,0.121962459691766,76.9109870428587
antitrust,13074,73,1632,0.118811207272384,0.132548647710268,0.119580115389038,0.12516094430803,0.128769599629741,0.114799014421427,0.13631798069863,0.124012490570482,131.763965411868
apocalypsenow,14672,44,1441,0.121854896526199,0.130454294456943,0.117496146650038,0.121333577620063,0.127731438235846,0.116367504749484,0.136315535850048,0.128446605911379,131.581108448392
aptpupil,14489,28,1492,0.114650779273344,0.132551776052403,0.115423363065849,0.123595461247717,0.130403978626227,0.116062359485422,0.142333552723307,0.124978729525731,159.814532459727
arcade,11199,29,954,0.115506564578203,0.13359676532996,0.111216938362835,0.121381675939025,0.131812040871011,0.121019078535378,0.140902669236921,0.124564267146665,95.2189222765755
arcticblue,13710,21,1306,0.117436135857218,0.132094562252691,0.112271832159948,0.121052690008895,0.131433348240929,0.118380912658358,0.140675111396425,0.126655407425537,101.110165902942
armyofdarkness,7635,38,535,0.122642035663425,0.13098734282879,0.113698520278075,0.117884217222204,0.128777617788714,0.118890005136498,0.136266064329106,0.130854196753186,33.8163280936395
arthur,10880,110,1597,0.118759920362796,0.13082630240165,0.118402789548068,0.124071032071538,0.129668207964885,0.114457750612203,0.136872345237285,0.126941651801574,107.8041807507
