id|movie|tokenCount|characterCount|sectionCount|anger|anticipation|disgust|fear|joy|sadness|surprise|trust|angerPercentile|anticipationPercentile|disgustPercentile|fearPercentile|joyPercentile|sadnessPercentile|surprisePercentile|trustPercentile
37|assignmentthe|18287|50|1373|0.0434735057691256|0.0404112210860174|0.0195767485098704|0.0532618800240608|0.027779296768196|0.0418329961174605|0.0266309400120304|0.0505276972712856|0.742788461538462|0.355769230769231|0.372596153846154|0.716346153846154|0.329326923076923|0.84375|0.134615384615385|0.632211538461538
38|austinpowersinternationalmanofmystery|11282|71|1302|0.0397979081723099|0.0385569934408793|0.0277433079241269|0.051054777521716|0.0373160787094487|0.0393547243396561|0.0246410210955504|0.0508775039886545|0.639423076923077|0.257211538461538|0.793269230769231|0.653846153846154|0.689903846153846|0.778846153846154|0.0528846153846154|0.651442307692308
39|austinpowersthespywhoshaggedme|9972|70|1217|0.0516446048937024|0.0423184917769755|0.0402125952667469|0.0589651022864019|0.0541516245487365|0.0514440433212996|0.0279783393501805|0.0546530284797433|0.920673076923077|0.483173076923077|0.975961538461539|0.831730769230769|0.978365384615385|0.975961538461539|0.204326923076923|0.752403846153846
40|autumninnewyork|13602|43|1531|0.0299220702837818|0.056168210557271|0.0260991030730775|0.0366122629025143|0.0574915453609763|0.0394794883105426|0.0461696809292751|0.0547713571533598|0.262019230769231|0.956730769230769|0.723557692307692|0.247596153846154|0.987980769230769|0.786057692307692|0.987980769230769|0.762019230769231
41|avengersthe|13702|34|1534|0.036272077069041|0.0453218508246971|0.0191942782075609|0.0532768938841045|0.0353233104656255|0.0424025689680339|0.0328419208874617|0.0561961757407678|0.509615384615385|0.639423076923077|0.334134615384615|0.71875|0.637019230769231|0.853365384615385|0.591346153846154|0.783653846153846
42|avengersthe2012|13987|38|1405|0.0515478658754558|0.0368199041967541|0.0208050332451562|0.0596267963108601|0.0230928719525273|0.0406806320154429|0.0285979838421391|0.0615571602202045|0.915865384615385|0.163461538461538|0.459134615384615|0.841346153846154|0.149038461538462|0.819711538461539|0.237980769230769|0.875
43|bachelorparty|12389|66|1501|0.0336588909516507|0.0460892727419485|0.0195334570990395|0.0356768100734523|0.0465735733311809|0.0244571797562354|0.0306723706513843|0.05044797804504|0.408653846153846|0.680288461538462|0.367788461538462|0.211538461538462|0.911057692307692|0.0336538461538462|0.432692307692308|0.629807692307692
44|backdraft|15638|48|1676|0.0375367694078527|0.0292876326896023|0.0248753037472823|0.0589589461567975|0.0260263460800614|0.0340196956132498|0.035938099501215|0.0400306944622075|0.557692307692308|0.00240384615384615|0.665865384615385|0.829326923076923|0.247596153846154|0.504807692307692|0.795673076923077|0.144230769230769
45|badcountry|13814|69|1470|0.0499493267699435|0.0372810192558274|0.0217894889242797|0.0634863182278848|0.0194006080787607|0.0399594614159548|0.0293904734327494|0.0481395685536412|0.899038461538462|0.192307692307692|0.507211538461538|0.896634615384615|0.0456730769230769|0.790865384615385|0.319711538461538|0.516826923076923
46|badlieutenant|8537|41|465|0.0470891413845613|0.0511889422513764|0.030221389246808|0.0650111280309242|0.043692163523486|0.0441607121939791|0.0345554644488696|0.0754363359493968|0.838942307692308|0.877403846153846|0.865384615384615|0.911057692307692|0.850961538461539|0.896634615384615|0.723557692307692|0.987980769230769
47|badsanta|9100|43|1128|0.0356043956043956|0.0437362637362637|0.0273626373626374|0.0348351648351648|0.0351648351648352|0.0247252747252747|0.03|0.0441758241758242|0.485576923076923|0.574519230769231|0.774038461538462|0.1875|0.625|0.0408653846153846|0.367788461538462|0.3125
48|bamboozled|13372|73|1762|0.0302871672150763|0.0518247083457972|0.0168262040083757|0.0345498055638648|0.0453185761292253|0.0361202512713132|0.0313341310200419|0.0593778043673347|0.290865384615385|0.903846153846154|0.15625|0.182692307692308|0.884615384615385|0.637019230769231|0.480769230769231|0.831730769230769
49|barrylyndon|17437|62|1464|0.0434707805241727|0.0627974995698801|0.0321156162183862|0.0501806503412284|0.0665252050238|0.0466823421460114|0.0418076503985777|0.0910133623903194|0.740384615384615|0.983173076923077|0.894230769230769|0.627403846153846|1|0.932692307692308|0.951923076923077|1
50|basicinstinct|10561|33|1489|0.0239560647665941|0.0427042893665373|0.0134456964302623|0.0423255373544172|0.0332354890635357|0.0321939210302055|0.0332354890635357|0.041378657324117|0.0769230769230769|0.504807692307692|0.0360576923076923|0.427884615384615|0.550480769230769|0.377403846153846|0.622596153846154|0.209134615384615
51|battleofshakerheightsthe|10253|38|1515|0.02974739100751|0.0410611528333171|0.0197015507656296|0.0327708963230274|0.0348190773432166|0.0299424558665756|0.030820247732371|0.0438895932897688|0.245192307692308|0.40625|0.387019230769231|0.141826923076923|0.603365384615385|0.225961538461538|0.442307692307692|0.298076923076923
52|beavisandbuttheaddoamerica|10087|66|1293|0.0340041637751561|0.0412412015465451|0.0274610885297908|0.0414394765539804|0.0294438386041439|0.0267671260037672|0.0314265886784971|0.0459998017249926|0.427884615384615|0.430288461538462|0.78125|0.403846153846154|0.411057692307692|0.0889423076923077|0.487980769230769|0.387019230769231
53|beingjohnmalkovich|11388|50|1398|0.02748507200562|0.047418335089568|0.0284510010537408|0.0363540569020021|0.0410958904109589|0.033807516684229|0.0296803652968037|0.047418335089568|0.165865384615385|0.759615384615385|0.814903846153846|0.237980769230769|0.795673076923077|0.487980769230769|0.338942307692308|0.459134615384615
54|beingthere|14340|66|1565|0.0188981868898187|0.046373779637378|0.0156206415620642|0.0334728033472803|0.0398884239888424|0.0290794979079498|0.0642956764295676|0.0654114365411437|0.00240384615384615|0.704326923076923|0.0889423076923077|0.153846153846154|0.771634615384615|0.206730769230769|1|0.920673076923077
55|believerthe|12360|71|1453|0.0395631067961165|0.0405339805825243|0.0245954692556634|0.0485436893203884|0.0316343042071197|0.0357605177993528|0.0269417475728155|0.0406148867313916|0.629807692307692|0.367788461538462|0.651442307692308|0.576923076923077|0.485576923076923|0.615384615384615|0.153846153846154|0.165865384615385
56|bigbluethe|14007|35|1475|0.0194188619975726|0.0461911901192261|0.0162775754979653|0.0335546512458057|0.0440494038694938|0.0296280431212965|0.0445491539944314|0.0562575854929678|0.00480769230769231|0.692307692307692|0.127403846153846|0.15625|0.855769230769231|0.21875|0.978365384615385|0.786057692307692
57|bigfish|14554|48|1482|0.0281022399340388|0.0554486739040814|0.0217809536897073|0.0419128761852412|0.0443864229765013|0.0327744949841968|0.0379964270990793|0.0621135083138656|0.185096153846154|0.949519230769231|0.504807692307692|0.418269230769231|0.860576923076923|0.40625|0.884615384615385|0.877403846153846
58|bigwhitethe|12957|35|1540|0.0340356564019449|0.0427568109901983|0.0203750868256541|0.0381261094389133|0.0283244578220267|0.0349617967122019|0.0284788145404029|0.04430037817396|0.430288461538462|0.507211538461538|0.430288461538462|0.300480769230769|0.360576923076923|0.564903846153846|0.228365384615385|0.317307692307692
59|birdsthe|18225|34|1615|0.0580521262002744|0.0414266117969822|0.0111385459533608|0.0655692729766804|0.0245816186556927|0.0440054869684499|0.0459807956104253|0.0358299039780521|0.96875|0.442307692307692|0.00721153846153846|0.923076923076923|0.194711538461538|0.894230769230769|0.983173076923077|0.0576923076923077
60|birthdaygirl|9819|22|1165|0.0236276606579081|0.0426723698951013|0.0594765251043895|0.0353396476219574|0.0311640696608616|0.0307566962012425|0.0323861900397189|0.0395152255830533|0.0697115384615385|0.502403846153846|1|0.201923076923077|0.46875|0.276442307692308|0.5625|0.120192307692308
61|blackdahliathe|20434|74|2179|0.0397866301262602|0.0337183126162279|0.0253499070177156|0.0460996378584712|0.0278457472839385|0.0371929137711657|0.0270138005285309|0.0481060976803367|0.637019230769231|0.0480769230769231|0.682692307692308|0.519230769230769|0.334134615384615|0.689903846153846|0.163461538461538|0.514423076923077
62|blackrain|12460|31|1185|0.036677367576244|0.0364365971107544|0.0165329052969502|0.0460674157303371|0.0236757624398074|0.028330658105939|0.0252006420545746|0.0448635634028893|0.521634615384615|0.146634615384615|0.139423076923077|0.516826923076923|0.163461538461538|0.177884615384615|0.0889423076923077|0.338942307692308
63|blacksnakemoan|13669|35|1343|0.0405296656668374|0.0433096788353208|0.0292632965103519|0.0441875777306314|0.0391396590825957|0.0426512546638379|0.0297754041992831|0.0439681030068037|0.65625|0.552884615384615|0.838942307692308|0.483173076923077|0.740384615384615|0.865384615384615|0.346153846153846|0.300480769230769
64|blade|14424|34|1104|0.0476289517470882|0.0397947864669994|0.0328618968386023|0.0682889628397116|0.0256516916250693|0.0389628397115918|0.0306433721575153|0.0421519689406545|0.84375|0.322115384615385|0.915865384615385|0.947115384615385|0.228365384615385|0.757211538461538|0.430288461538462|0.233173076923077
65|bladeii|14577|24|1012|0.0504904987308774|0.0336145983398505|0.0326541812444262|0.0688756259861426|0.0207861699938259|0.0360842422995129|0.0329285861288331|0.0408863277766344|0.90625|0.0456730769230769|0.901442307692308|0.956730769230769|0.0817307692307692|0.634615384615385|0.598557692307692|0.180288461538462
66|bladerunner|13227|33|1311|0.0281242912224994|0.0408255840326605|0.0175398805473652|0.0402963634989038|0.0322824525591593|0.0312996144250397|0.0330384818930975|0.0449081424359265|0.189903846153846|0.396634615384615|0.204326923076923|0.372596153846154|0.507211538461538|0.319711538461538|0.608173076923077|0.341346153846154
67|bladetrinity|14739|57|1060|0.049935545152317|0.030666938055499|0.0295135355180134|0.066761652757989|0.0208290928828279|0.0349413121650044|0.0303955492231495|0.0408440192686071|0.896634615384615|0.00721153846153846|0.841346153846154|0.932692307692308|0.0841346153846154|0.560096153846154|0.401442307692308|0.177884615384615
68|blastfromthepastthe|13683|57|1932|0.0268216034495359|0.0451655338741504|0.0173938463787181|0.0321566907841848|0.0375648615069795|0.0267485200613901|0.0327413578893518|0.0494043703866111|0.144230769230769|0.634615384615385|0.197115384615385|0.120192307692308|0.697115384615385|0.0865384615384615|0.581730769230769|0.579326923076923
69|bloodsimple|11498|20|834|0.0439206818577144|0.0343538006609845|0.0178291876848148|0.0440946251522004|0.0237432596973387|0.0376587232562185|0.0344407723082275|0.0333101408940685|0.766826923076923|0.0697115384615385|0.233173076923077|0.475961538461538|0.165865384615385|0.704326923076923|0.711538461538462|0.0216346153846154
70|blow|12866|67|1567|0.0301570029535209|0.0460904710088606|0.0188869889631587|0.0321001088139282|0.0444582620861185|0.0260376185294575|0.0289911394372765|0.0554951033732318|0.276442307692308|0.682692307692308|0.314903846153846|0.115384615384615|0.867788461538462|0.0649038461538462|0.288461538461538|0.778846153846154
71|bodyofevidence|11346|26|1292|0.037722545390446|0.0436277102062401|0.0180680416005641|0.0436277102062401|0.028997003349198|0.0402785122510136|0.029613960867266|0.0534990304953288|0.564903846153846|0.567307692307692|0.245192307692308|0.461538461538462|0.396634615384615|0.802884615384615|0.331730769230769|0.716346153846154
72|bones|15779|36|1282|0.041384118131694|0.0378350972811965|0.0357437099942962|0.052538183661829|0.027378160846695|0.043412130046264|0.0303568033462197|0.0371379681855631|0.682692307692308|0.209134615384615|0.951923076923077|0.699519230769231|0.302884615384615|0.887019230769231|0.399038461538462|0.0745192307692308
73|boondocksaintsthe|14962|52|1300|0.0476540569442588|0.0376954952546451|0.0331506483090496|0.0487902686806577|0.0296083411308649|0.0359577596577998|0.033618500200508|0.0483224167891993|0.848557692307692|0.204326923076923|0.925480769230769|0.591346153846154|0.418269230769231|0.627403846153846|0.65625|0.528846153846154
74|bottlerocket|11120|36|1716|0.0318345323741007|0.0357014388489209|0.0169064748201439|0.0387589928057554|0.0282374100719425|0.0231115107913669|0.0251798561151079|0.0401978417266187|0.346153846153846|0.120192307692308|0.161057692307692|0.329326923076923|0.355769230769231|0.0168269230769231|0.0817307692307692|0.15625
75|bound|10408|15|1657|0.04304381245196|0.0412182936202921|0.0192159877017679|0.0438124519600307|0.0299769408147579|0.0319946195234435|0.0349730976172175|0.0386241352805534|0.730769230769231|0.425480769230769|0.336538461538462|0.473557692307692|0.427884615384615|0.370192307692308|0.75|0.100961538461538
76|bourneidentitythe|12115|57|1108|0.0379694593479158|0.0307882789929839|0.0161782913743293|0.0517540239372679|0.0162608336772596|0.0315311597193562|0.0275691291787041|0.0479570780024763|0.574519230769231|0.00961538461538462|0.122596153846154|0.673076923076923|0.00721153846153846|0.336538461538462|0.1875|0.497596153846154
77|braveheart|14969|87|1263|0.0555815351726902|0.0459616540851092|0.0269891108290467|0.0621952034204022|0.0392143763778476|0.047097334491282|0.0358741398891042|0.0720823034270826|0.954326923076923|0.665865384615385|0.754807692307692|0.882211538461539|0.745192307692308|0.942307692307692|0.793269230769231|0.971153846153846
78|bringingoutthedead|10548|53|1140|0.0419036784224498|0.0390595373530527|0.0311907470610542|0.0616230565036026|0.0272089495638984|0.0546075085324232|0.0251232461130072|0.0755593477436481|0.689903846153846|0.288461538461538|0.882211538461539|0.872596153846154|0.300480769230769|0.980769230769231|0.0769230769230769|0.990384615384615
79|broadcastnews|15617|69|1825|0.027341999103541|0.0542998014983672|0.017544983031312|0.0355381955561247|0.0389319331497727|0.0286226547992572|0.0352180316321957|0.0548760965614395|0.158653846153846|0.942307692307692|0.206730769230769|0.209134615384615|0.735576923076923|0.189903846153846|0.764423076923077|0.764423076923077
80|buffythevampireslayer|12742|44|1451|0.0441061057918694|0.046146601789358|0.0320200910375137|0.0517972060900958|0.0324124941139539|0.036179563647779|0.0354732381101868|0.0446554700988856|0.771634615384615|0.685096153846154|0.891826923076923|0.677884615384615|0.514423076923077|0.641826923076923|0.776442307692308|0.326923076923077
81|bulldurham|13538|51|1464|0.0376717388092776|0.0453538188801891|0.0233417048308465|0.0526665681784606|0.0381149357364456|0.047495937361501|0.0491948589156449|0.0489732604520609|0.5625|0.641826923076923|0.610576923076923|0.704326923076923|0.711538461538462|0.951923076923077|0.990384615384615|0.550480769230769
82|butterflyeffectthe|13972|34|1487|0.035785857429144|0.0398654451760664|0.0297738333810478|0.0443028914972803|0.0330661322645291|0.0410821643286573|0.0326367019753793|0.0429430289149728|0.492788461538462|0.324519230769231|0.850961538461539|0.485576923076923|0.545673076923077|0.824519230769231|0.574519230769231|0.271634615384615
83|capote|11901|48|1416|0.0313419040416772|0.0453743382908999|0.0199142929165616|0.0373077892614066|0.0315939836988488|0.0357112847659861|0.0268884967649777|0.047054869338711|0.331730769230769|0.644230769230769|0.403846153846154|0.266826923076923|0.483173076923077|0.610576923076923|0.149038461538462|0.430288461538462
84|cars2|13721|61|1732|0.0335252532614241|0.0426353764302893|0.0183660083084323|0.0402303039137089|0.0266015596530865|0.0230303913708913|0.0362947307047591|0.0438014721959041|0.403846153846154|0.5|0.274038461538462|0.367788461538462|0.274038461538462|0.0144230769230769|0.822115384615385|0.293269230769231
85|case39|13785|46|1391|0.0383025027203482|0.0425099746100834|0.0228509249183896|0.0506347479143997|0.028436706565107|0.0396082698585419|0.0283641639463185|0.04069640914037|0.579326923076923|0.492788461538462|0.567307692307692|0.646634615384615|0.370192307692308|0.788461538461538|0.225961538461538|0.170673076923077
86|castaway|15675|42|1780|0.0355980861244019|0.0430622009569378|0.0225199362041467|0.0410207336523126|0.0352153110047847|0.03311004784689|0.0318341307814992|0.04|0.480769230769231|0.540865384615385|0.540865384615385|0.394230769230769|0.629807692307692|0.427884615384615|0.521634615384615|0.141826923076923
87|cedarrapids|14591|38|1427|0.0253580974573367|0.0444109382496059|0.0182989514084024|0.0271400178192036|0.0457131108217394|0.0262490576382702|0.0306353231444041|0.0508532657117401|0.100961538461538|0.603365384615385|0.262019230769231|0.0336538461538462|0.889423076923077|0.0745192307692308|0.427884615384615|0.649038461538462
88|cellthe|12374|34|1207|0.0344270244060126|0.0478422498787781|0.0299014061742363|0.0523678681105544|0.0329723614029417|0.0365282042993373|0.0281234847260385|0.0536609018910619|0.439903846153846|0.769230769230769|0.858173076923077|0.697115384615385|0.543269230769231|0.653846153846154|0.211538461538462|0.725961538461538
89|chasingamy|12888|39|1320|0.037243947858473|0.0419770328988206|0.026846679081316|0.0315797641216636|0.039649286157666|0.0325884543761639|0.0272346368715084|0.0464773432650528|0.543269230769231|0.459134615384615|0.752403846153846|0.105769230769231|0.759615384615385|0.396634615384615|0.173076923076923|0.401442307692308
90|chinatown|14069|61|1604|0.0348283460089559|0.0362499111521786|0.0228871988058853|0.0373160850095956|0.0236690596346578|0.0352548155519227|0.025374937806525|0.0395195109815907|0.454326923076923|0.134615384615385|0.572115384615385|0.269230769230769|0.161057692307692|0.581730769230769|0.0985576923076923|0.122596153846154
