movie,entropy,pctRecordsDropped,pctTokensDropped,dialogueIndentCount,characterIndentCount,descriptionIndentCount,settingIndentCount,characterDirectionIndentCount,mixedCharacterWithDialogueIndentCount,mixedDescriptionWithDialogueIndentCount
eternalsunshineofthespotlessmind,1.3274437310873,0.00302506482281763,0.00187857961053837,1,1,1,1,1,0,0
spiderman,1.32760957492815,0.055405685826935,0.0241219134544862,1,1,1,1,1,0,0
crouchingtigerhiddendragon,1.32810022896042,0.0140067911714771,0.00884636215923452,1,1,1,1,2,0,0
musicoftheheart,1.32909769730019,0.0406793877123087,0.017477300822712,1,1,1,1,1,0,0
nightmareonelmstreeta,1.32953002846515,0.0611072823340225,0.0307993448647785,1,2,1,2,2,0,0
missionimpossibleii,1.33244625573718,0.0455098564127525,0.0214804581309328,1,1,1,1,1,0,0
psycho,1.33299791660223,0.105031068350371,0.0410673187571922,1,1,1,1,1,0,0
peepingtom,1.33359908681734,0.0428520625889047,0.0207351919067109,1,2,1,1,1,0,0
copycat,1.3336433585146,0.0768365817091454,0.0271106578993636,1,2,1,1,2,0,0
dogdayafternoon,1.33597259952302,0.0519249753208292,0.0234716780157492,1,1,1,1,1,0,0
bachelorparty,1.33971089366648,0.0597084008331405,0.0267899478425794,1,1,1,1,2,0,0
battleofshakerheightsthe,1.33973598988337,0.0292897874546397,0.0125503742084053,1,1,1,1,1,0,0
meetjoeblack,1.34021251803714,0.0342551854179761,0.0132818421337568,1,1,1,1,3,0,0
missionimpossible,1.34064875283033,0.035538261997406,0.0186170212765957,2,1,1,1,2,0,0
livinginoblivion,1.34280484536636,0.0249734325185972,0.0113622700492966,1,1,1,1,1,0,0
mrs.brown,1.34331167927056,0.0449603291213635,0.018353592490071,1,2,1,1,2,0,0
mymotherdreamsthesatansdisciplesinnewyork,1.34349300134634,0.0764940239043825,0.0367111650485437,1,1,1,1,2,0,0
americansplendor,1.34352919188971,0.0562782805429864,0.0210192128742679,1,1,1,1,1,0,0
buffythevampireslayer,1.34464986688659,0.0495445456565208,0.0213959854014599,1,1,1,1,1,0,0
jayandsilentbobstrikeback,1.3446688705784,0.0542476970317298,0.0247339418668237,1,1,1,1,1,0,0
henryscrime,1.34503460580492,0.0117873981997428,0.00458065219762242,1,1,1,1,0,0,0
ciderhouserulesthe,1.34570462729187,0.0507391130643228,0.0198730333977367,1,1,1,1,1,0,0
iamsam,1.34593732099875,0.0337533753375338,0.0169168669780942,1,2,1,1,2,0,0
jurassicparkiii,1.3459631853446,0.0260760289035501,0.0098408259840826,1,1,1,3,3,0,0
uturn,1.34746784659637,0.0307372793354102,0.0133871898442008,1,2,1,1,1,0,0
peggysuegotmarried,1.34747359091099,0.0342258908798067,0.0147759134807958,1,1,1,1,1,0,0
fiveeasypieces,1.34770144289047,0.0407843137254902,0.0227471566054243,1,1,1,1,1,0,0
fightclub,1.34832364512475,0.0255768198891075,0.0126295947219604,1,2,1,1,2,0,0
intolerablecruelty,1.35034432151343,0.0284323770491803,0.0149290561381863,1,1,1,1,1,0,0
saltonseathe,1.35173735850646,0.0392615096985277,0.0168566229288382,1,1,1,1,1,0,0
littlenicky,1.35218261502906,0.0036051026067665,0.0020683711577133,1,1,1,3,2,0,0
rocky,1.35464730066671,0.0586902800658979,0.0185088261883237,1,2,1,1,1,0,0
birdsthe,1.35489322709273,0.080814312152992,0.0346863947564814,1,2,1,1,1,0,0
quantumproject,1.3561495114764,0.0108932461873638,0.00303030303030303,1,1,1,3,3,0,0
wallstreet,1.35630730455406,0.0849878091257402,0.0378717711227745,1,1,1,2,1,0,0
larrycrowne,1.35642870977475,0.0102810143934202,0.00342376925870208,1,2,1,1,0,0,0
whatliesbeneath,1.35717478295639,0.0442073170731707,0.0186811342916271,1,1,1,1,2,0,0
doorsthe,1.36099351203062,0.0757726819541376,0.0303783173348391,1,1,1,1,1,0,0
bigwhitethe,1.36165075381445,0.0429594272076372,0.0185006656567048,1,1,1,2,1,0,0
rko281,1.36379682312987,0.0415286624203822,0.0192204541391025,1,1,1,1,1,0,0
startreknemesis,1.36453265650793,0.0483188599421064,0.0230222875336762,1,1,1,1,2,0,0
prettywoman,1.36466476238599,0.0466593647316539,0.0207450904890258,1,1,1,1,2,0,0
miamivice,1.36479811758642,0.0829653729955845,0.0314126035845057,1,1,1,1,2,0,0
bigbluethe,1.36491146564236,0.0934959349593496,0.0366556487837952,1,2,1,1,2,0,0
ghostworld,1.36580814714529,0.0474356375430772,0.024138739161003,1,1,1,1,1,0,0
taxidriver,1.36587567433378,0.0886971908869719,0.0295296350980806,1,2,1,1,1,0,0
