id|movie|tokenCount|characterCount|sectionCount|genreList|Action|Adventure|Animation|Biography|Comedy|Crime|Drama|Family|Fantasy|Film-Noir|History|Horror|Music|Musical|Mystery|Romance|Sci-Fi|Short|Sport|Thriller|War|Western|PC1|PC2|PC3|PC4|PC5|PC6|PC7|PC8|genreCount
18|allabouteve|16341|26|1843|Drama|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-0.0796693114342069|-0.0365124923960978|0.022189616595328|-0.0610543205412649|0.023709906387934|-0.0356391096687433|-0.0342253123931593|-0.0209081681542878|1
19|almostfamous|19583|75|1991|Comedy, Drama, Romance|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|-0.052109013056506|-0.0490146027827541|-0.00100790732346003|-0.0310843429270591|0.00568760653046185|0.0427040087492819|0.0315649667170656|0.0412465659469523|3
20|amadeus|19771|58|2059|Drama|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-0.0431862163406315|-0.14144865302681|0.0140054772023743|-0.00140266077063101|0.0597166258770175|0.0657212529276771|-0.0477819734316256|0.0188782903271137|1
21|americanpie|11986|55|1667|Comedy|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-0.0716792567937648|0.00346895394590118|0.0423893180529595|0.0124762987225253|0.00447202840658518|-0.0295770663554017|0.0288307775121419|0.0522151888956462|1
22|americansplendor|11251|46|1077|Comedy, Drama|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-0.0335362101992196|0.000854117480545356|0.0282619314856829|0.0153830948654486|0.0191035879723835|0.00072766049547045|-0.00866542280663734|-0.0341705056963585|2
23|americanwerewolfinlondon|9320|40|1291|Comedy, Horror, Romance|0|0|0|0|1|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0.0737616242462755|-0.0293071906718839|0.00569132182002584|0.0356359052357718|0.0119539381352241|0.0274388875864393|-0.0641379384985216|-0.0182111344002138|3
24|amour|7486|16|820|Drama, Romance|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|-0.0689732962359783|0.0222771635653292|0.0359073772466539|0.0102511242611638|0.00348228361420988|0.0703341733497907|-0.0263670809334777|-0.0720975023099731|2
25|anastasia|11665|50|1147|Animation, Family, Musical|0|0|1|0|0|0|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|-0.014179067514309|-0.0287023440386646|0.0589253497061593|-0.0625987604892032|0.0281044707216383|-0.0353240020235158|0.0122535233288489|0.0420159007547091|3
26|annakarenina|15639|76|1822|Drama|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-0.0498208720631374|-0.0515332087546975|0.0303932649075461|-0.0321088624572717|0.00381770800208159|0.0441861512980717|-0.0275150654678475|0.00681511536874901|1
27|anniversarypartythe|9308|34|1399|Drama|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-0.0667930218209648|-0.0779645058126114|0.0783038509337446|-0.0880767546780727|-0.00355084636991573|-0.0743186228663547|-0.0500963434991864|-0.00939909162464408|1
28|antitrust|14715|58|1644|Crime, Drama, Thriller|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|-0.0455357523369282|0.0728213025502047|-0.0458444862637491|-0.0285975924035167|-0.0337128603093698|0.02077438810227|-0.0342832359501493|0.066502183001112|3
29|apartmentthe|16399|38|1734|Comedy|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-0.0781849995299226|0.0702517136721825|-0.0106424677489888|0.00752578839860487|0.0113861101034697|0.0403272753811329|0.0179546268916059|-0.0085549721055647|1
30|apocalypsenow|16281|43|1457|Action, Drama, War|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0.0987602384505347|-0.0274606492599993|-0.0156859621233988|-0.0444920394909056|0.0457196542763708|-0.0378500160661123|-0.0478741247297607|0.0210547418292504|3
31|aptpupil|16342|27|1506|Drama, Thriller|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|-0.0203396882587796|0.0383083314169148|-0.0163926459515868|0.0281555614567229|-0.035491139067792|0.000539415212096646|-0.00601792040417143|-0.0185856414847991|2
32|arcade|12584|29|970|Sci-Fi|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0.00253975462118948|0.0456743768390339|0.000402693368758312|-0.0238761706956238|-0.0242792607811601|0.0290056101457925|0.0087460859287894|-0.0321115726300317|1
33|arcticblue|15320|21|1310|Action, Thriller|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0.039787513024924|0.0316414548480807|0.0243426548968458|-0.013513265368346|-0.00494197942596366|0.0198836433259953|0.0963805852272504|-0.0680007788891859|2
34|armyofdarkness|8357|39|549|Action, Adventure, Comedy, Fantasy, Horror|1|1|0|0|1|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0.188658189240076|0.00383416659460507|0.0492681258617322|0.034841097013412|0.0439871954528335|-0.0545284755053033|0.0897723599463981|-0.0627038687546768|5
35|arthur|12363|51|1581|Comedy|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-0.032580422759793|-0.0506365896437065|0.0320905761990795|0.0281569537293173|-0.00378143040188255|-0.0114195276257484|0.0326331659418298|0.0522564172401623|1
36|asgoodasitgets|11847|43|1312|Comedy, Drama, Romance|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|-0.0428015795252307|-0.0767963564446804|0.01283824510784|0.0114901874844454|0.0468074479372327|-0.009494325103478|-0.048554362430039|0.0765230242825342|3
37|assignmentthe|18287|50|1373|Thriller|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0.0284937737189406|0.0118622992714767|-0.0331258879069975|0.0146651886364277|0.0434584738047933|0.0635834379256622|0.0298913037537762|0.0320799904555701|1
38|austinpowersinternationalmanofmystery|11282|71|1302|Action, Comedy|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.0157930675218109|-0.00618749605120658|0.00128713775553826|0.0699980391950749|0.000220379308558508|0.0145731325894087|0.00667549035932813|0.106398449505322|2
39|austinpowersthespywhoshaggedme|9972|70|1217|Action, Comedy|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.0574814458236851|-0.0797080664963631|0.0779599403905334|0.123116936753433|0.0176911850181824|0.00506400797751277|0.020500707344402|0.173932730341835|2
40|autumninnewyork|13602|43|1531|Drama, Romance|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|-0.0396618451239904|-0.0955351606957805|0.0972435872628004|-0.0389753872208951|0.0156017829859682|-0.0134952511660503|-0.0727098060332408|-0.0250843243111565|2
41|avengersthe|13702|34|1534|Action, Adventure|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.0129291074571052|-0.0281903548221003|-0.0268846753839671|-0.0133941340904781|0.0224593673327565|0.0710556084593992|-0.0500847086786793|0.0190850783151695|2
