movie|genreList|filename|path|Action|Adventure|Animation|Biography|Comedy|Crime|Drama|Family|Fantasy|Film-Noir|History|Horror|Music|Musical|Mystery|Romance|Sci-Fi|Short|Sport|Thriller|War|Western
airplane2thesequel|Comedy, Sci-Fi|airplane2thesequel.txt|Comedy/airplane2thesequel.txt|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0
aladdin|Animation, Comedy, Family, Fantasy, Musical|aladdin.txt|Animation/aladdin.txt|0|0|1|0|1|0|0|1|1|0|0|0|0|1|0|0|0|0|0|0|0|0
ali|Drama|ali.txt|Drama/ali.txt|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
alien|Action, Horror, Sci-Fi, Thriller|alien.txt|Action/alien.txt|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0|1|0|0
alien3|Action, Drama, Horror, Sci-Fi, Thriller|alien3.txt|Action/alien3.txt|1|0|0|0|0|0|1|0|0|0|0|1|0|0|0|0|1|0|0|1|0|0
aliennation|Crime, Drama, Sci-Fi|aliennation.txt|Crime/aliennation.txt|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0
alienresurrection|Action, Horror, Sci-Fi, Thriller|alienresurrection.txt|Action/alienresurrection.txt|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0|1|0|0
aliens|Action, Horror, Sci-Fi, Thriller|aliens.txt|Action/aliens.txt|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0|1|0|0
alienvs.predator|Action, Horror, Sci-Fi, Thriller|alienvs.predator.txt|Action/alienvs.predator.txt|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0|1|0|0
allabouteve|Drama|allabouteve.txt|Drama/allabouteve.txt|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
allaboutsteve|Comedy|allaboutsteve.txt|Comedy/allaboutsteve.txt|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
allthekingsmen|Drama|allthekingsmen.txt|Drama/allthekingsmen.txt|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
allthepresidentsmen|Drama, Thriller|allthepresidentsmen.txt|Drama/allthepresidentsmen.txt|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0
almostfamous|Comedy, Drama, Romance|almostfamous.txt|Comedy/almostfamous.txt|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0
aloneinthedark|Action, Horror, Thriller|aloneinthedark.txt|Action/aloneinthedark.txt|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0
amadeus|Drama|amadeus.txt|Drama/amadeus.txt|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
amelia|Drama|amelia.txt|Drama/amelia.txt|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
americanbeauty|Drama|americanbeauty.txt|Drama/americanbeauty.txt|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
americangangster|Crime, Drama|americangangster.txt|Crime/americangangster.txt|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
americangraffiti|Comedy, Drama|americangraffiti.txt|Comedy/americangraffiti.txt|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
americanhistoryx|Crime, Drama, Thriller|americanhistoryx.txt|Crime/americanhistoryx.txt|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0
americanhustle|Crime, Drama|americanhustle.txt|Crime/americanhustle.txt|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
americanmadness|Drama|americanmadness.txt|Drama/americanmadness.txt|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
americanpie|Comedy|americanpie.txt|Comedy/americanpie.txt|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
americanpresidentthe|Comedy, Drama, Romance|americanpresidentthe.txt|Comedy/americanpresidentthe.txt|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0
americanpsycho|Drama, Horror, Thriller|americanpsycho.txt|Drama/americanpsycho.txt|0|0|0|0|0|0|1|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0
americanshaolinkingofkickboxersii|Action|americanshaolinkingofkickboxersii.txt|Action/americanshaolinkingofkickboxersii.txt|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
americansplendor|Comedy, Drama|americansplendor.txt|Comedy/americansplendor.txt|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
americanthe|Crime, Drama, Thriller|americanthe.txt|Crime/americanthe.txt|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0
americanwerewolfinlondon|Comedy, Horror, Romance|americanwerewolfinlondon.txt|Comedy/americanwerewolfinlondon.txt|0|0|0|0|1|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0
amityvilleasylumthe|Horror|amityvilleasylumthe.txt|Horror/amityvilleasylumthe.txt|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0
amour|Drama, Romance|amour.txt|Drama/amour.txt|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0
analyzethat|Comedy, Crime|analyzethat.txt|Comedy/analyzethat.txt|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
analyzethis|Comedy, Crime|analyzethis.txt|Comedy/analyzethis.txt|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
anastasia|Animation, Family, Musical|anastasia.txt|Animation/anastasia.txt|0|0|1|0|0|0|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0
aneducation|Drama|aneducation.txt|Drama/aneducation.txt|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
angeleyes|Drama, Romance|angeleyes.txt|Drama/angeleyes.txt|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0
angelsdemons|Drama, Mystery, Thriller|angelsdemons.txt|Drama/angelsdemons.txt|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0
annakarenina|Drama|annakarenina.txt|Drama/annakarenina.txt|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
anniehall|Comedy, Romance|anniehall.txt|Comedy/anniehall.txt|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0
anniversarypartythe|Drama|anniversarypartythe.txt|Drama/anniversarypartythe.txt|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
anonymous|Drama, Thriller|anonymous.txt|Drama/anonymous.txt|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0
antitrust|Crime, Drama, Thriller|antitrust.txt|Crime/antitrust.txt|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0
antz|Adventure, Animation, Comedy, Fantasy|antz.txt|Adventure/antz.txt|0|1|1|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
apartmentthe|Comedy|apartmentthe.txt|Comedy/apartmentthe.txt|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
apocalypsenow|Action, Drama, War|apocalypsenow.txt|Action/apocalypsenow.txt|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0
aprilfoolsday|Comedy, Horror, Mystery|aprilfoolsday.txt|Comedy/aprilfoolsday.txt|0|0|0|0|1|0|0|0|0|0|0|1|0|0|1|0|0|0|0|0|0|0
aptpupil|Drama, Thriller|aptpupil.txt|Drama/aptpupil.txt|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0
arbitrage|Drama, Thriller|arbitrage.txt|Drama/arbitrage.txt|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0
arcade|Sci-Fi|arcade.txt|Sci-Fi/arcade.txt|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0
arcticblue|Action, Thriller|arcticblue.txt|Action/arcticblue.txt|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0
