movie|character|tokenCount|characterCount|sectionCount|anger|anticipation|disgust|fear|joy|sadness|surprise|trust
10thingsihateaboutyou|Kat|426|1|155|0.131455399061033|0.068075117370892|0.112676056338028|0.107981220657277|0.0586854460093897|0.126760563380282|0.0751173708920188|0.119718309859155
10thingsihateaboutyou|Patrick|306|1|135|0.140522875816993|0.133986928104575|0.0849673202614379|0.117647058823529|0.101307189542484|0.111111111111111|0.0915032679738562|0.140522875816993
10thingsihateaboutyou|Bianca|244|1|95|0.10655737704918|0.131147540983607|0.0942622950819672|0.114754098360656|0.10655737704918|0.102459016393443|0.069672131147541|0.147540983606557
10thingsihateaboutyou|Michael|233|1|75|0.0858369098712446|0.0858369098712446|0.055793991416309|0.0944206008583691|0.103004291845494|0.0901287553648069|0.055793991416309|0.120171673819742
10thingsihateaboutyou|Cameron|155|1|65|0.0709677419354839|0.148387096774194|0.0838709677419355|0.0774193548387097|0.148387096774194|0.0903225806451613|0.0838709677419355|0.154838709677419
10thingsihateaboutyou|Joey|115|1|47|0.0869565217391304|0.156521739130435|0.0869565217391304|0.0956521739130435|0.11304347826087|0.0869565217391304|0.147826086956522|0.165217391304348
10thingsihateaboutyou|Walter|101|1|42|0.0792079207920792|0.188118811881188|0.0693069306930693|0.128712871287129|0.099009900990099|0.0792079207920792|0.0693069306930693|0.118811881188119
10thingsihateaboutyou|Mandella|74|1|29|0.027027027027027|0.0810810810810811|0.0540540540540541|0.027027027027027|0.121621621621622|0.027027027027027|0.0675675675675676|0.135135135135135
10thingsihateaboutyou|Miss Perky|60|1|22|0.116666666666667|0.05|0.0833333333333333|0.183333333333333|0.0333333333333333|0.15|0.0166666666666667|0.116666666666667
10thingsihateaboutyou|Mrs. Blaise|27|1|9|0|0.111111111111111|0.037037037037037|0.037037037037037|0.0740740740740741|0.037037037037037|0.0740740740740741|0.0740740740740741
10thingsihateaboutyou|Derek|26|1|5|0.115384615384615|0.115384615384615|0.0384615384615385|0.115384615384615|0.192307692307692|0.115384615384615|0|0.269230769230769
10thingsihateaboutyou|Teacher|18|1|6|0|0.0555555555555556|0|0|0.0555555555555556|0|0.0555555555555556|0.111111111111111
10thingsihateaboutyou|Chastity|17|1|6|0|0.176470588235294|0|0|0|0|0|0.0588235294117647
10thingsihateaboutyou|Bruce|15|1|8|0|0.2|0.0666666666666667|0.0666666666666667|0|0.0666666666666667|0.0666666666666667|0.0666666666666667
10thingsihateaboutyou|Sharon|13|1|7|0.0769230769230769|0.153846153846154|0|0.0769230769230769|0.307692307692308|0.0769230769230769|0.0769230769230769|0.153846153846154
10thingsihateaboutyou|Pepe|10|1|1|0|0.2|0|0|0|0|0|0.2
10thingsihateaboutyou|Clem|9|1|3|0.222222222222222|0|0.222222222222222|0.222222222222222|0.111111111111111|0|0|0.222222222222222
10thingsihateaboutyou|Mr. Chapin|9|1|3|0|0.111111111111111|0|0.222222222222222|0.111111111111111|0|0.222222222222222|0.222222222222222
10thingsihateaboutyou|Trevor|6|1|3|0|0.166666666666667|0|0|0.333333333333333|0|0|0.333333333333333
10thingsihateaboutyou|Bogey|3|1|1|0.333333333333333|0|0|0.333333333333333|0|0.333333333333333|0.333333333333333|0
10thingsihateaboutyou|Cowboy|3|1|1|0.333333333333333|0|0.333333333333333|0|0|0|0|0
10thingsihateaboutyou|Scurvy|3|1|1|0|0.333333333333333|0|0|0|0|0.333333333333333|0
10thingsihateaboutyou|Boy|2|1|2|0|0.5|0|0|0.5|0|0|0.5
10thingsihateaboutyou|Cohort|2|1|1|0|0|0|0|0|0|0|0.5
10thingsihateaboutyou|Mandelia|2|1|1|0|0|0|0|0|0|0|0
10thingsihateaboutyou|Skippy|2|1|1|0|0|0|0|0|0|0|0
10thingsihateaboutyou|Coffee Kid #1|1|1|1|0|0|0|0|0|0|0|0
10thingsihateaboutyou|Girl|1|1|1|0|0|0|0|0|0|0|0
10thingsihateaboutyou|Jock|1|1|1|1|0|0|1|0|0|0|0
10thingsihateaboutyou|Lead Singer|1|1|1|0|0|0|0|0|0|0|0
10thingsihateaboutyou|Miscreant|1|1|1|0|0|0|0|0|0|0|0
12monkeys|Cole|643|1|183|0.0855365474339036|0.0933125972006221|0.0404354587869362|0.124416796267496|0.073094867807154|0.101088646967341|0.0668740279937792|0.102643856920684
12monkeys|Jeffrey|599|1|69|0.0918196994991653|0.115191986644407|0.0818030050083473|0.131886477462437|0.0567612687813022|0.0918196994991653|0.0550918196994992|0.135225375626043
12monkeys|Railly|490|1|157|0.102040816326531|0.136734693877551|0.0653061224489796|0.189795918367347|0.0918367346938776|0.112244897959184|0.0897959183673469|0.161224489795918
12monkeys|Dr. Mason|124|1|14|0.112903225806452|0.0887096774193548|0.0403225806451613|0.161290322580645|0.0564516129032258|0.0887096774193548|0.0645161290322581|0.0887096774193548
12monkeys|Railly's Voice|79|1|6|0.151898734177215|0.10126582278481|0.0632911392405063|0.227848101265823|0.0506329113924051|0.139240506329114|0.0759493670886076|0.151898734177215
12monkeys|Fale|75|1|16|0.0933333333333333|0.133333333333333|0.0666666666666667|0.16|0.0666666666666667|0.0666666666666667|0.0533333333333333|0.106666666666667
12monkeys|Dr. Fletcher|64|1|14|0.0625|0.078125|0.046875|0.125|0|0.09375|0.078125|0.21875
12monkeys|Dr. Peters|57|1|11|0.087719298245614|0.105263157894737|0.087719298245614|0.12280701754386|0.0701754385964912|0.0701754385964912|0.0350877192982456|0.175438596491228
12monkeys|Raspy Voice|57|1|15|0.0175438596491228|0.105263157894737|0.0175438596491228|0.0701754385964912|0.087719298245614|0.0175438596491228|0.087719298245614|0.087719298245614
12monkeys|Jose|48|1|10|0.0625|0.104166666666667|0.0416666666666667|0.145833333333333|0.0833333333333333|0.0208333333333333|0.0416666666666667|0.104166666666667
12monkeys|Botanist|44|1|10|0.0909090909090909|0.0909090909090909|0.0454545454545455|0.159090909090909|0.0454545454545455|0.159090909090909|0.0227272727272727|0.113636363636364
12monkeys|Astrophysicist|39|1|20|0.0256410256410256|0.0256410256410256|0|0.0512820512820513|0.0256410256410256|0.0512820512820513|0.0256410256410256|0.102564102564103
12monkeys|Announcer/Radio|38|1|3|0.0526315789473684|0.0526315789473684|0|0.105263157894737|0.0526315789473684|0.105263157894737|0.0526315789473684|0.0526315789473684
12monkeys|Franki|36|1|6|0.0833333333333333|0.0277777777777778|0.0833333333333333|0.194444444444444|0.0277777777777778|0.138888888888889|0.0277777777777778|0.166666666666667
12monkeys|Billings|33|1|9|0.0909090909090909|0.0606060606060606|0.0909090909090909|0.0909090909090909|0.0303030303030303|0.0303030303030303|0.0303030303030303|0.272727272727273
12monkeys|Poet|33|1|2|0.0909090909090909|0.0909090909090909|0.0303030303030303|0.0606060606060606|0.0303030303030303|0.0303030303030303|0|0.0606060606060606
12monkeys|Tv Reporter|33|1|4|0.151515151515152|0.0606060606060606|0.0606060606060606|0.151515151515152|0.0303030303030303|0.121212121212121|0.151515151515152|0.0909090909090909
12monkeys|Wallace|29|1|6|0.0689655172413793|0.0689655172413793|0.103448275862069|0.0689655172413793|0.172413793103448|0.103448275862069|0.0344827586206897|0.137931034482759
12monkeys|Radio Newscaster|28|1|3|0.0357142857142857|0.0357142857142857|0.0357142857142857|0|0.0357142857142857|0.0714285714285714|0.0357142857142857|0.0357142857142857
12monkeys|Tj Washington|28|1|2|0|0.107142857142857|0.0357142857142857|0.107142857142857|0.107142857142857|0.0357142857142857|0.107142857142857|0.142857142857143
12monkeys|Woman Cabbie|28|1|4|0.0357142857142857|0.107142857142857|0|0.0357142857142857|0|0.0714285714285714|0.0714285714285714|0.107142857142857
12monkeys|Microbiologist|24|1|10|0.0833333333333333|0.25|0.0833333333333333|0.166666666666667|0.0416666666666667|0.0833333333333333|0.0416666666666667|0.0833333333333333
12monkeys|Teddy|24|1|5|0.166666666666667|0|0.0416666666666667|0.208333333333333|0.125|0.0416666666666667|0.0416666666666667|0.166666666666667
12monkeys|Agent #3|23|1|4|0.0434782608695652|0|0|0.0869565217391304|0|0|0.0869565217391304|0.0434782608695652
12monkeys|Geologist|23|1|8|0|0.173913043478261|0.0869565217391304|0|0|0.0869565217391304|0.0434782608695652|0
12monkeys|Louie|22|1|5|0|0.181818181818182|0.0909090909090909|0|0.136363636363636|0|0.0909090909090909|0.272727272727273
12monkeys|Radio Announcer|22|1|2|0|0.181818181818182|0|0.0909090909090909|0|0.0454545454545455|0|0.181818181818182
12monkeys|Lieutenant Ralperin|21|1|3|0.238095238095238|0|0.0476190476190476|0.142857142857143|0.0476190476190476|0.142857142857143|0.0952380952380952|0.142857142857143
12monkeys|Disheveled Professor|20|1|3|0|0.05|0.05|0.15|0|0.15|0.05|0.15
12monkeys|Tv Anchor|20|1|2|0.15|0|0.1|0.3|0|0.2|0.1|0.1
12monkeys|Zoologist|20|1|6|0.1|0.1|0.1|0.15|0.05|0.1|0.05|0.1
12monkeys|Engineer|19|1|7|0.210526315789474|0.157894736842105|0.0526315789473684|0.315789473684211|0.105263157894737|0.210526315789474|0.105263157894737|0.105263157894737
12monkeys|Lieutenant Halperin|19|1|3|0.0526315789473684|0.105263157894737|0|0.0526315789473684|0.157894736842105|0.0526315789473684|0.105263157894737|0.157894736842105
12monkeys|P.a. System|17|1|5|0|0.352941176470588|0.0588235294117647|0.0588235294117647|0|0|0|0.176470588235294
12monkeys|Ticket Agent|17|1|4|0.0588235294117647|0.176470588235294|0|0.0588235294117647|0.176470588235294|0|0.176470588235294|0.294117647058824
12monkeys|Desk Clerk|15|1|4|0|0|0|0.0666666666666667|0|0|0.0666666666666667|0
12monkeys|Woman Cabble|15|1|2|0.0666666666666667|0.0666666666666667|0|0|0.0666666666666667|0|0|0.0666666666666667
12monkeys|Jeffrey's Voice|14|1|3|0.0714285714285714|0.142857142857143|0.0714285714285714|0.0714285714285714|0|0.0714285714285714|0.142857142857143|0.0714285714285714
12monkeys|Poet's Voice|14|1|1|0|0|0|0|0|0.0714285714285714|0|0.0714285714285714
12monkeys|Rights Activist/Radio|14|1|1|0.0714285714285714|0|0.142857142857143|0.214285714285714|0|0.214285714285714|0|0
12monkeys|Father's Voice|13|1|4|0|0.0769230769230769|0|0|0|0|0|0.0769230769230769
12monkeys|Answering Machine|12|1|1|0|0|0|0|0|0|0|0
12monkeys|Ben|12|1|5|0.0833333333333333|0.166666666666667|0|0.166666666666667|0|0.166666666666667|0.0833333333333333|0
12monkeys|Dr. Casey|12|1|3|0|0|0|0.0833333333333333|0.333333333333333|0.0833333333333333|0.0833333333333333|0.0833333333333333
12monkeys|Second Agent|12|1|2|0.0833333333333333|0|0.166666666666667|0|0|0|0|0
12monkeys|Security Officer|12|1|4|0|0.0833333333333333|0|0|0.166666666666667|0|0.0833333333333333|0.5
12monkeys|Tv Anchorman|12|1|2|0|0.333333333333333|0.0833333333333333|0.0833333333333333|0.166666666666667|0|0.0833333333333333|0.166666666666667
12monkeys|Evangelist|11|1|1|0.0909090909090909|0.181818181818182|0|0.181818181818182|0.0909090909090909|0.0909090909090909|0.181818181818182|0.0909090909090909
12monkeys|Kweskin|11|1|3|0|0|0|0.0909090909090909|0|0.0909090909090909|0|0
12monkeys|Wallace's Voice|10|1|2|0.4|0.1|0.2|0.7|0|0.5|0|0.2
12monkeys|Man's Voice|9|1|3|0.333333333333333|0.111111111111111|0|0.333333333333333|0|0.333333333333333|0.111111111111111|0
12monkeys|Tv News Reporter|9|1|1|0|0|0|0|0|0|0|0.111111111111111
12monkeys|Voice/Tv|9|1|2|0|0|0|0|0.111111111111111|0|0|0.111111111111111
12monkeys|Brunette/P. A. System|8|1|1|0|0.125|0|0|0.125|0|0|0.125
12monkeys|Captain|8|1|2|0.125|0|0|0|0|0.25|0|0
12monkeys|First Detective|8|1|2|0.25|0|0.125|0.375|0|0.125|0|0.375
12monkeys|Offscreen Voice|8|1|2|0.125|0|0|0|0|0|0|0.125
12monkeys|Man|7|1|3|0|0.142857142857143|0|0|0|0|0|0
12monkeys|Marilou Martin|7|1|2|0|0|0|0|0|0|0|0.142857142857143
12monkeys|Mother|7|1|1|0|0.285714285714286|0|0|0|0.142857142857143|0|0.142857142857143
12monkeys|Mother's Voice|7|1|2|0.285714285714286|0.142857142857143|0.142857142857143|0.428571428571429|0.142857142857143|0.142857142857143|0|0.142857142857143
12monkeys|Radio Reporter's Voice/Radio|7|1|2|0|0.142857142857143|0.142857142857143|0|0.142857142857143|0|0|0.142857142857143
