filename,path,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Short,Sport,Thriller,War,Western
allthekingsmen.txt,Drama/allthekingsmen.txt,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allthepresidentsmen.txt,Drama/allthepresidentsmen.txt,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
almostfamous.txt,Comedy/almostfamous.txt,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
aloneinthedark.txt,Action/aloneinthedark.txt,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
amadeus.txt,Drama/amadeus.txt,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amelia.txt,Drama/amelia.txt,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
americanbeauty.txt,Drama/americanbeauty.txt,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
americangangster.txt,Crime/americangangster.txt,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
americangraffiti.txt,Comedy/americangraffiti.txt,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
americanhistoryx.txt,Crime/americanhistoryx.txt,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
americanhustle.txt,Crime/americanhustle.txt,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
americanmadness.txt,Drama/americanmadness.txt,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
americanpie.txt,Comedy/americanpie.txt,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
americanpresidentthe.txt,Comedy/americanpresidentthe.txt,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
americanpsycho.txt,Drama/americanpsycho.txt,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
americanshaolinkingofkickboxersii.txt,Action/americanshaolinkingofkickboxersii.txt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
americansplendor.txt,Comedy/americansplendor.txt,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
americanthe.txt,Crime/americanthe.txt,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
americanwerewolfinlondon.txt,Comedy/americanwerewolfinlondon.txt,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
amityvilleasylumthe.txt,Horror/amityvilleasylumthe.txt,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
amour.txt,Drama/amour.txt,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
analyzethat.txt,Comedy/analyzethat.txt,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
analyzethis.txt,Comedy/analyzethis.txt,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anastasia.txt,Animation/anastasia.txt,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
aneducation.txt,Drama/aneducation.txt,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
angeleyes.txt,Drama/angeleyes.txt,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
angelsdemons.txt,Drama/angelsdemons.txt,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
annakarenina.txt,Drama/annakarenina.txt,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anniehall.txt,Comedy/anniehall.txt,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
anniversarypartythe.txt,Drama/anniversarypartythe.txt,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anonymous.txt,Drama/anonymous.txt,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
antitrust.txt,Crime/antitrust.txt,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
antz.txt,Adventure/antz.txt,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
apartmentthe.txt,Comedy/apartmentthe.txt,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
