movie,leftSpaceCount,pctTokens,pctRecords,pctTokensI,pctTokensQuestionMark,pctTokensQuestionWord,pctTokensYou,pctTokensWe,pctTokensCapitalized,pctTokensCharacterMention,pctTokensCharacterMentionCapitalized,pctLinesCharacterMention,pctLinesCharacterMentionCapitalized,pctLinesOnlyCapitalizedCharacterMention,pctLinesCharacterDirection,pctLinesCapitalized,pctLinesSetting,dialogueIndentInd,characterIndentInd,descriptionIndentInd,settingIndentInd,characterDirectionIndentInd,mixedCharacterWithDialogueIndentInd,mixedDescriptionWithDialogueIndentInd,dialogueIndentCount,characterIndentCount,descriptionIndentCount,settingIndentCount,characterDirectionIndentCount,mixedCharacterWithDialogueIndentCount,mixedDescriptionWithDialogueIndentCount,entropy,pctRecordsDropped,pctTokensDropped
10thingsihateaboutyou,0,0.00062603152922429,0.000246974561620153,0.0909090909090909,0,0,0.0909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1.37708619585295,0.0372931588046431,0.015593876273405
10thingsihateaboutyou,10,0.488873712366968,0.310200049394912,0.00151338766006985,0.000931315483119907,0.00360884749708964,0.00221187427240978,0.00128055878928987,0.0830034924330617,0.090337601862631,0.0060535506402794,0.617834394904459,0.0414012738853503,0.00238853503184713,0,0.112261146496815,0.071656050955414,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1.37708619585295,0.0372931588046431,0.015593876273405
10thingsihateaboutyou,14,0.000512207614819874,0.000246974561620153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1.37708619585295,0.0372931588046431,0.015593876273405
10thingsihateaboutyou,16,0.000398383700415457,0.000246974561620153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1.37708619585295,0.0372931588046431,0.015593876273405
10thingsihateaboutyou,20,0.435547208468499,0.40306248456409,0.0516137462433033,0.0492617274271528,0.0121520972167777,0.0686005488043904,0.00849340128054358,0.000522670848033451,0.0109760878087025,0,0.0514705882352941,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1.37708619585295,0.0372931588046431,0.015593876273405
10thingsihateaboutyou,27,0.0136019577713278,0.0360582859965424,0,0,0,0,0,0,0.096234309623431,0,0.157534246575342,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,1.37708619585295,0.0372931588046431,0.015593876273405
10thingsihateaboutyou,31,0.000284559786011041,0.000246974561620153,0.2,0,0,0.2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1.37708619585295,0.0372931588046431,0.015593876273405
10thingsihateaboutyou,33,0.0599852028911274,0.249444307236355,0,0,0,0,0,1,0.912713472485768,0.912713472485768,0.952475247524752,0.952475247524752,0.916831683168317,0.00495049504950495,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1.37708619585295,0.0372931588046431,0.015593876273405
10thingsihateaboutyou,37,0.000170735871606625,0.000246974561620153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1.37708619585295,0.0372931588046431,0.015593876273405
12monkeys,0,0.000437887361897063,0.000397298371076679,0,0,0,0,0,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1.30565473424603,0.0313865713150576,0.0161007814605228
12monkeys,4,0.520580706009162,0.351013110846246,0.00038822387576836,0.00135878356518926,0.00362342284050469,0.000323519896473633,0.0029116790682627,0.233775477191847,0.0540925266903915,0.0535101908767389,0.473118279569893,0.468024900962083,0,0.0282965478211658,0.1092246745897,0.0979060554612337,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1.30565473424603,0.0313865713150576,0.0161007814605228
12monkeys,8,0.422561304230666,0.432459276916965,0.0396970904742925,0.0353925866879235,0.0131526504583499,0.0580310880829016,0.0110801115982463,0.0450378636907134,0.00829015544041451,0.000239139099242726,0.0477721635277905,0.00137804317868627,0,0.00091869545245751,0.0477721635277905,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1.30565473424603,0.0313865713150576,0.0161007814605228
12monkeys,12,0.0152923740231743,0.0299960270162892,0.00220264317180617,0.0066079295154185,0,0,0,0.0837004405286344,0.0352422907488987,0,0.105960264900662,0,0,0.947019867549669,0.0463576158940397,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,1.30565473424603,0.0313865713150576,0.0161007814605228
12monkeys,16,0.0407572082996497,0.185141040921732,0,0,0,0,0,0.974380165289256,0.527272727272727,0.527272727272727,0.684549356223176,0.684549356223176,0.594420600858369,0.01931330472103,0.98175965665236,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1.30565473424603,0.0313865713150576,0.0161007814605228
12monkeys,17,6.7367286445702e-05,0.000198649185538339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1.30565473424603,0.0313865713150576,0.0161007814605228
12monkeys,18,0.000134734572891404,0.000198649185538339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1.30565473424603,0.0313865713150576,0.0161007814605228
12monkeys,20,0.000101050929668553,0.000397298371076679,0,0,0,0,0,0.666666666666667,0.333333333333333,0.333333333333333,0.5,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1.30565473424603,0.0313865713150576,0.0161007814605228
12monkeys,28,6.7367286445702e-05,0.000198649185538339,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1.30565473424603,0.0313865713150576,0.0161007814605228
1492conquestofparadise,0,0.000183528332186281,0.000239578342117873,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1.18545597685814,0.0495927168183996,0.0165634319798119
1492conquestofparadise,4,0.659876118375774,0.476042165788213,6.95313586427479e-05,0.000139062717285496,0.00257266026978167,0,0.0049367264636351,0.160408844388819,0.0543735224586288,0.0540258656654151,0.393558127830901,0.391041771514846,0.00251635631605435,0.00452944136889784,0.0885757423251132,0.0785103170608958,0,0,1,1,0,0,0,1,1,1,1,2,0,0,1.18545597685814,0.0495927168183996,0.0165634319798119
1492conquestofparadise,12,0.293415921082817,0.322712026832774,0.0336200156372166,0.0265832681782643,0.0112587959343237,0.0531665363565285,0.0168881939014855,0.00875684128225176,0.0117279124315872,0.000625488663017983,0.0556792873051225,0.00296956198960653,0,0.0044543429844098,0.0089086859688196,0,1,0,0,0,0,0,0,1,1,1,1,2,0,0,1.18545597685814,0.0495927168183996,0.0165634319798119
1492conquestofparadise,13,4.58820830465703e-05,0.000239578342117873,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,2,0,0,1.18545597685814,0.0495927168183996,0.0165634319798119
1492conquestofparadise,16,0.0105528791007112,0.0340201245807379,0,0,0,0,0,0.0130434782608696,0.0347826086956522,0,0.0563380281690141,0,0,0.992957746478873,0,0,0,0,0,0,1,0,0,1,1,1,1,2,0,0,1.18545597685814,0.0495927168183996,0.0165634319798119
1492conquestofparadise,20,0.0301445285615967,0.151653090560613,0,0,0,0,0,1,0.820395738203957,0.820395738203957,0.851500789889415,0.851500789889415,0.851500789889415,0,1,0,0,1,0,0,0,0,0,1,1,1,1,2,0,0,1.18545597685814,0.0495927168183996,0.0165634319798119
1492conquestofparadise,23,9.17641660931406e-05,0.000239578342117873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1.18545597685814,0.0495927168183996,0.0165634319798119
1492conquestofparadise,29,4.58820830465703e-05,0.000239578342117873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1.18545597685814,0.0495927168183996,0.0165634319798119
1492conquestofparadise,36,0.00532232163340216,0.0138955438428366,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1.18545597685814,0.0495927168183996,0.0165634319798119
1492conquestofparadise,37,0.000137646249139711,0.000239578342117873,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1.18545597685814,0.0495927168183996,0.0165634319798119
1492conquestofparadise,40,0.000183528332186281,0.000479156684235745,0,0,0,0,0,0.25,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1.18545597685814,0.0495927168183996,0.0165634319798119
15minutes,0,8.38785438684784e-05,0.000214270409256482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1.30279719992874,0.0269980715663167,0.0116171783257843
15minutes,4,0.49861600402617,0.314334690379259,0.000252334090335604,0.000168222726890403,0.00445790226259568,0.000504668180671209,0.00302800908402725,0.0691395407519556,0.101017747497687,0.00428967953570527,0.8186775732788,0.0347648261758691,0.00340831629175188,0.00408997955010225,0.0715746421267894,0.0443081117927744,0,0,1,1,0,0,0,1,1,1,1,2,0,0,1.30279719992874,0.0269980715663167,0.0116171783257843
